zenodo_record_id,location,alias
null,A_1,1
null,A_2,2
null,A_3,3
null,A_4,4
null,A_5,5
null,A_6,6
null,A_7,7
null,A_8,8
null,A_9,9
null,A_10,10
null,A_11,11
null,A_12,12
null,A_13,13
null,A_14,14
null,A_15,15
null,A_16,16
null,A_17,17
null,A_18,18
null,A_19,19
null,A_20,20
null,A_21,21
null,A_22,22
null,A_23,23
null,A_24,24
null,A_25,25
null,A_26,26
null,A_27,27
null,A_28,28
null,A_29,29
null,A_30,30
null,A_31,31
null,A_32,32
null,A_33,33
null,A_34,34
null,A_35,35
null,A_36,36
null,A_37,37
null,A_38,38
null,A_39,39
null,A_40,40
null,A_41,41
null,A_42,42
null,A_43,43
null,A_44,44
null,A_45,45
null,A_46,46
null,A_47,47
null,A_48,48
null,A_580,580
null,A_581,581
null,A_582,582
null,A_583,583
null,A_584,584
null,A_585,585
null,A_586,586
null,A_587,587
null,A_588,588
null,A_589,589
null,A_590,590
null,A_591,591
null,A_592,592
null,A_593,593
null,A_594,594
null,A_595,595
null,A_773,773
null,A_774,774
null,A_775,775
null,A_776,776
null,A_777,777
null,A_778,778
null,A_779,779
null,A_780,780
null,A_856,856
null,A_857,857
null,A_858,858
null,A_859,859
null,B_49,49
null,B_50,50
null,B_51,51
null,B_52,52
null,B_53,53
null,B_54,54
null,B_55,55
null,B_56,56
null,B_57,57
null,B_58,58
null,B_59,59
null,B_60,60
null,B_61,61
null,B_62,62
null,B_63,63
null,B_64,64
null,B_65,65
null,B_66,66
null,B_67,67
null,B_68,68
null,B_69,69
null,B_70,70
null,B_71,71
null,B_72,72
null,B_73,73
null,B_74,74
null,B_75,75
null,B_76,76
null,B_77,77
null,B_78,78
null,B_79,79
null,B_80,80
null,B_81,81
null,B_82,82
null,B_83,83
null,B_84,84
null,B_85,85
null,B_86,86
null,B_87,87
null,B_88,88
null,B_89,89
null,B_90,90
null,B_91,91
null,B_92,92
null,B_93,93
null,B_94,94
null,B_95,95
null,B_96,96
null,B_596,596
null,B_597,597
null,B_598,598
null,B_599,599
null,B_600,600
null,B_601,601
null,B_602,602
null,B_603,603
null,B_604,604
null,B_605,605
null,B_606,606
null,B_607,607
null,B_608,608
null,B_609,609
null,B_610,610
null,B_611,611
null,B_781,781
null,B_782,782
null,B_783,783
null,B_784,784
null,B_785,785
null,B_786,786
null,B_787,787
null,B_788,788
null,B_860,860
null,B_861,861
null,B_862,862
null,B_863,863
null,C_97,97
null,C_98,98
null,C_99,99
null,C_100,100
null,C_101,101
null,C_102,102
null,C_103,103
null,C_104,104
null,C_105,105
null,C_106,106
null,C_107,107
null,C_108,108
null,C_109,109
null,C_110,110
null,C_111,111
null,C_112,112
null,C_113,113
null,C_114,114
null,C_115,115
null,C_116,116
null,C_117,117
null,C_118,118
null,C_119,119
null,C_120,120
null,C_121,121
null,C_122,122
null,C_123,123
null,C_124,124
null,C_125,125
null,C_126,126
null,C_127,127
null,C_128,128
null,C_129,129
null,C_130,130
null,C_131,131
null,C_132,132
null,C_133,133
null,C_134,134
null,C_135,135
null,C_136,136
null,C_137,137
null,C_138,138
null,C_139,139
null,C_140,140
null,C_141,141
null,C_142,142
null,C_143,143
null,C_144,144
null,C_612,612
null,C_613,613
null,C_614,614
null,C_615,615
null,C_616,616
null,C_617,617
null,C_618,618
null,C_619,619
null,C_620,620
null,C_621,621
null,C_622,622
null,C_623,623
null,C_624,624
null,C_625,625
null,C_626,626
null,C_627,627
null,C_789,789
null,C_790,790
null,C_791,791
null,C_792,792
null,C_793,793
null,C_794,794
null,C_795,795
null,C_796,796
null,C_864,864
null,C_865,865
null,C_866,866
null,C_867,867
null,D_145,145
null,D_146,146
null,D_147,147
null,D_148,148
null,D_149,149
null,D_150,150
null,D_151,151
null,D_152,152
null,D_153,153
null,D_154,154
null,D_155,155
null,D_156,156
null,D_157,157
null,D_158,158
null,D_159,159
null,D_160,160
null,D_161,161
null,D_162,162
null,D_163,163
null,D_164,164
null,D_165,165
null,D_166,166
null,D_167,167
null,D_168,168
null,D_169,169
null,D_170,170
null,D_171,171
null,D_172,172
null,D_173,173
null,D_174,174
null,D_175,175
null,D_176,176
null,D_177,177
null,D_178,178
null,D_179,179
null,D_180,180
null,D_181,181
null,D_182,182
null,D_183,183
null,D_184,184
null,D_185,185
null,D_186,186
null,D_187,187
null,D_188,188
null,D_189,189
null,D_190,190
null,D_191,191
null,D_192,192
null,D_628,628
null,D_629,629
null,D_630,630
null,D_631,631
null,D_632,632
null,D_633,633
null,D_634,634
null,D_635,635
null,D_636,636
null,D_637,637
null,D_638,638
null,D_639,639
null,D_640,640
null,D_641,641
null,D_642,642
null,D_643,643
null,D_797,797
null,D_798,798
null,D_799,799
null,D_800,800
null,D_801,801
null,D_802,802
null,D_803,803
null,D_804,804
null,D_868,868
null,D_869,869
null,D_870,870
null,D_871,871
null,E_193,193
null,E_194,194
null,E_195,195
null,E_196,196
null,E_197,197
null,E_198,198
null,E_199,199
null,E_200,200
null,E_201,201
null,E_202,202
null,E_203,203
null,E_204,204
null,E_205,205
null,E_206,206
null,E_207,207
null,E_208,208
null,E_209,209
null,E_210,210
null,E_211,211
null,E_212,212
null,E_213,213
null,E_214,214
null,E_215,215
null,E_216,216
null,E_217,217
null,E_218,218
null,E_219,219
null,E_220,220
null,E_221,221
null,E_222,222
null,E_223,223
null,E_224,224
null,E_225,225
null,E_226,226
null,E_227,227
null,E_228,228
null,E_229,229
null,E_230,230
null,E_231,231
null,E_232,232
null,E_233,233
null,E_234,234
null,E_235,235
null,E_236,236
null,E_237,237
null,E_238,238
null,E_239,239
null,E_240,240
null,E_644,644
null,E_645,645
null,E_646,646
null,E_647,647
null,E_648,648
null,E_649,649
null,E_650,650
null,E_651,651
null,E_652,652
null,E_653,653
null,E_654,654
null,E_655,655
null,E_656,656
null,E_657,657
null,E_658,658
null,E_659,659
null,E_805,805
null,E_806,806
null,E_807,807
null,E_808,808
null,E_809,809
null,E_810,810
null,E_811,811
null,E_812,812
null,E_872,872
null,E_873,873
null,E_874,874
null,E_875,875
null,F_241,241
null,F_242,242
null,F_243,243
null,F_244,244
null,F_245,245
null,F_246,246
null,F_247,247
null,F_248,248
null,F_249,249
null,F_250,250
null,F_251,251
null,F_252,252
null,F_253,253
null,F_254,254
null,F_255,255
null,F_256,256
null,F_257,257
null,F_258,258
null,F_259,259
null,F_260,260
null,F_261,261
null,F_262,262
null,F_263,263
null,F_264,264
null,F_265,265
null,F_266,266
null,F_267,267
null,F_268,268
null,F_269,269
null,F_270,270
null,F_271,271
null,F_272,272
null,F_273,273
null,F_274,274
null,F_275,275
null,F_276,276
null,F_277,277
null,F_278,278
null,F_279,279
null,F_280,280
null,F_281,281
null,F_282,282
null,F_283,283
null,F_284,284
null,F_285,285
null,F_286,286
null,F_287,287
null,F_288,288
null,F_660,660
null,F_661,661
null,F_662,662
null,F_663,663
null,F_664,664
null,F_665,665
null,F_666,666
null,F_667,667
null,F_668,668
null,F_669,669
null,F_670,670
null,F_671,671
null,F_672,672
null,F_673,673
null,F_674,674
null,F_675,675
null,F_813,813
null,F_814,814
null,F_815,815
null,F_816,816
null,F_817,817
null,F_818,818
null,F_819,819
null,F_820,820
null,F_876,876
null,F_877,877
null,F_878,878
null,F_879,879
null,LF1_289,289
null,LF1_290,290
null,LF1_291,291
null,LF1_292,292
null,LF1_293,293
null,LF1_294,294
null,LF1_295,295
null,LF1_296,296
null,LF1_297,297
null,LF1_298,298
null,LF1_299,299
null,LF1_300,300
null,LF1_301,301
null,LF1_302,302
null,LF1_303,303
null,LF1_304,304
null,LF1_305,305
null,LF1_306,306
null,LF1_307,307
null,LF1_308,308
null,LF1_309,309
null,LF1_310,310
null,LF1_311,311
null,LF1_312,312
null,LF1_313,313
null,LF1_314,314
null,LF1_315,315
null,LF1_676,676
null,LF1_677,677
null,LF1_678,678
null,LF1_679,679
null,LF1_680,680
null,LF1_681,681
null,LF1_682,682
null,LF1_683,683
null,LF1_684,684
null,LF1_821,821
null,LF1_822,822
null,LF1_823,823
null,LF1_880,880
null,LF2_316,316
null,LF2_317,317
null,LF2_318,318
null,LF2_319,319
null,LF2_320,320
null,LF2_321,321
null,LF2_322,322
null,LF2_323,323
null,LF2_324,324
null,LF2_325,325
null,LF2_326,326
null,LF2_327,327
null,LF2_328,328
null,LF2_329,329
null,LF2_330,330
null,LF2_331,331
null,LF2_332,332
null,LF2_333,333
null,LF2_334,334
null,LF2_335,335
null,LF2_336,336
null,LF2_337,337
null,LF2_338,338
null,LF2_339,339
null,LF2_340,340
null,LF2_341,341
null,LF2_342,342
null,LF2_685,685
null,LF2_686,686
null,LF2_687,687
null,LF2_688,688
null,LF2_689,689
null,LF2_690,690
null,LF2_691,691
null,LF2_692,692
null,LF2_693,693
null,LF2_824,824
null,LF2_825,825
null,LF2_826,826
null,LF2_881,881
null,LF3_343,343
null,LF3_344,344
null,LF3_345,345
null,LF3_346,346
null,LF3_347,347
null,LF3_348,348
null,LF3_349,349
null,LF3_350,350
null,LF3_351,351
null,LF3_352,352
null,LF3_353,353
null,LF3_354,354
null,LF3_355,355
null,LF3_356,356
null,LF3_357,357
null,LF3_358,358
null,LF3_359,359
null,LF3_360,360
null,LF3_361,361
null,LF3_362,362
null,LF3_363,363
null,LF3_364,364
null,LF3_365,365
null,LF3_366,366
null,LF3_367,367
null,LF3_368,368
null,LF3_369,369
null,LF3_694,694
null,LF3_695,695
null,LF3_696,696
null,LF3_697,697
null,LF3_698,698
null,LF3_699,699
null,LF3_700,700
null,LF3_701,701
null,LF3_702,702
null,LF3_827,827
null,LF3_828,828
null,LF3_829,829
null,LF3_882,882
null,LF5_895,895
null,LFE_370,370
null,LFE_371,371
null,LFE_372,372
null,LFE_373,373
null,LFE_374,374
null,LFE_375,375
null,LFE_376,376
null,LFE_377,377
null,LFE_378,378
null,LFE_379,379
null,LFE_380,380
null,LFE_381,381
null,LFE_382,382
null,LFE_383,383
null,LFE_384,384
null,LFE_385,385
null,LFE_386,386
null,LFE_387,387
null,LFE_388,388
null,LFE_389,389
null,LFE_390,390
null,LFE_391,391
null,LFE_392,392
null,LFE_393,393
null,LFE_703,703
null,LFE_704,704
null,LFE_705,705
null,LFE_706,706
null,LFE_707,707
null,LFE_708,708
null,LFE_709,709
null,LFE_710,710
null,LFE_830,830
null,LFE_831,831
null,LFE_832,832
null,LFE_833,833
null,LFE_883,883
null,LFE_884,884
null,LFE_885,885
null,OG1_394,394
null,OG1_395,395
null,OG1_396,396
null,OG1_397,397
null,OG1_398,398
null,OG1_399,399
null,OG1_400,400
null,OG1_401,401
null,OG1_402,402
null,OG1_403,403
null,OG1_404,404
null,OG1_405,405
null,OG1_406,406
null,OG1_407,407
null,OG1_408,408
null,OG1_409,409
null,OG1_410,410
null,OG1_411,411
null,OG1_412,412
null,OG1_413,413
null,OG1_414,414
null,OG1_415,415
null,OG1_416,416
null,OG1_417,417
null,OG1_418,418
null,OG1_419,419
null,OG1_420,420
null,OG1_711,711
null,OG1_712,712
